id,date,home_team,home_team_score,visit_team,visit_team_score
401029429,2018-04-15,Boston Celtics,113,Milwaukee,107
401029430,2018-04-17,Boston Celtics,120,Milwaukee,106
401029432,2018-04-20,Milwaukee,116,Boston Celtics,92
401029434,2018-04-22,Milwaukee,104,Boston Celtics,102
401029435,2018-04-24,Boston Celtics,92,Milwaukee,87
401029436,2018-04-26,Milwaukee,97,Boston Celtics,86
401029437,2018-04-28,Boston Celtics,112,Milwaukee,96
401031671,2018-04-30,Boston Celtics,117,Philadelphia,101
401031672,2018-05-03,Boston Celtics,108,Philadelphia,103
401031673,2018-05-05,Philadelphia,98,Boston Celtics,101
401031674,2018-05-07,Philadelphia,103,Boston Celtics,92
401031675,2018-05-09,Boston Celtics,114,Philadelphia,112
401032840,2018-05-13,Boston Celtics,108,Cleveland,83
401032841,2018-05-15,Boston Celtics,107,Cleveland,94
401032842,2018-05-19,Cleveland,116,Boston Celtics,86
401032843,2018-05-21,Cleveland,111,Boston Celtics,102
401032844,2018-05-23,Boston Celtics,96,Cleveland,83
401032845,2018-05-25,Cleveland,109,Boston Celtics,99
401032846,2018-05-27,Boston Celtics,79,Cleveland,87
400974701,2018-10-18,Indiana,140,Brooklyn Nets,131
400974774,2018-10-20,Brooklyn Nets,126,Orlando,121
400974789,2018-10-22,Brooklyn Nets,116,Atlanta,104
400974801,2018-10-24,Orlando,125,Brooklyn Nets,121
400974809,2018-10-25,Brooklyn Nets,112,Cleveland,107
400974824,2018-10-27,NY Knicks,107,Brooklyn Nets,86
400974838,2018-10-29,Brooklyn Nets,111,Denver,124
400974853,2018-10-31,Brooklyn Nets,114,Phoenix,122
400974881,2018-11-03,Los Angeles,124,Brooklyn Nets,112
400974898,2018-11-06,Phoenix,92,Brooklyn Nets,98
400974906,2018-11-07,Denver,112,Brooklyn Nets,104
400974927,2018-11-10,Portland,97,Brooklyn Nets,101
400974938,2018-11-11,Utah,114,Brooklyn Nets,106
400974952,2018-11-14,Brooklyn Nets,102,Boston,109
400974970,2018-11-17,Brooklyn Nets,118,Utah,107
400974987,2018-11-19,Brooklyn Nets,111,Golden State,118
400975005,2018-11-22,Cleveland,119,Brooklyn Nets,109
400975018,2018-11-24,Brooklyn Nets,125,Portland,127
400975040,2018-11-26,Memphis,88,Brooklyn Nets,98
400975045,2018-11-27,Houston,117,Brooklyn Nets,103
400975061,2018-11-29,Dallas,104,Brooklyn Nets,109
400975079,2018-12-02,Brooklyn Nets,102,Atlanta,114
400975093,2018-12-04,Atlanta,90,Brooklyn Nets,110
400975116,2018-12-07,Brooklyn Nets,100,Oklahoma City,95
400975127,2018-12-09,Brooklyn Nets,89,Miami,101
400975151,2018-12-12,Brooklyn Nets,103,Washington,98
400975165,2018-12-14,Brooklyn Nets,104,NY Knicks,111
400975175,2018-12-15,Toronto,120,Brooklyn Nets,87
400975190,2018-12-17,Brooklyn Nets,97,Indiana,109
400975208,2018-12-20,Brooklyn Nets,99,Sacramento,104
400975224,2018-12-22,Brooklyn Nets,119,Washington,84
400975233,2018-12-23,Indiana,123,Brooklyn Nets,119
400975248,2018-12-26,San Antonio,109,Brooklyn Nets,97
400975257,2018-12-27,New Orleans,128,Brooklyn Nets,113
400975269,2018-12-29,Miami,87,Brooklyn Nets,111
400975285,2018-12-31,Boston,108,Brooklyn Nets,105
400975291,2018-01-01,Brooklyn Nets,98,Orlando,95
400975303,2018-01-03,Brooklyn Nets,98,Minnesota,97
400975325,2018-01-06,Brooklyn Nets,85,Boston,87
400975338,2018-01-08,Brooklyn Nets,113,Toronto,114
400975352,2018-01-10,Brooklyn Nets,80,Detroit,114
400975367,2018-01-12,Atlanta,105,Brooklyn Nets,110
400975376,2018-01-13,Washington,119,Brooklyn Nets,113
400975388,2018-01-15,Brooklyn Nets,104,NY Knicks,119
400975401,2018-01-17,Brooklyn Nets,95,San Antonio,100
400975414,2018-01-19,Brooklyn Nets,101,Miami,95
400975431,2018-01-21,Detroit,100,Brooklyn Nets,101
400975443,2018-01-23,Oklahoma City,109,Brooklyn Nets,108
400975465,2018-01-26,Milwaukee,116,Brooklyn Nets,91
400975475,2018-01-27,Minnesota,111,Brooklyn Nets,97
400975491,2018-01-30,NY Knicks,111,Brooklyn Nets,95
400975502,2018-01-31,Brooklyn Nets,116,Philadelphia,108
400975514,2018-02-02,Brooklyn Nets,99,Los Angeles,102
400975531,2018-02-04,Brooklyn Nets,94,Milwaukee,109
400975546,2018-02-06,Brooklyn Nets,113,Houston,123
400975551,2018-02-07,Detroit,115,Brooklyn Nets,106
400975572,2018-02-10,Brooklyn Nets,128,New Orleans,138
400975589,2018-02-12,Brooklyn Nets,101,LA,114
400975602,2018-02-14,Brooklyn Nets,103,Indiana,108
400975613,2018-02-22,Charlotte,111,Brooklyn Nets,96
400975645,2018-02-26,Brooklyn Nets,104,Chicago,87
400975654,2018-02-27,Cleveland,129,Brooklyn Nets,123
400975670,2018-03-01,Sacramento,116,Brooklyn Nets,111
400975694,2018-03-04,LA,123,Brooklyn Nets,120
400975709,2018-03-06,Golden State,114,Brooklyn Nets,101
400975718,2018-03-08,Charlotte,111,Brooklyn Nets,125
400975745,2018-03-11,Brooklyn Nets,97,Philadelphia,120
400975754,2018-03-13,Brooklyn Nets,102,Toronto,116
400975776,2018-03-16,Philadelphia,120,Brooklyn Nets,116
400975783,2018-03-17,Brooklyn Nets,114,Dallas,106
400975799,2018-03-19,Brooklyn Nets,118,Memphis,115
400975813,2018-03-21,Brooklyn Nets,105,Charlotte,111
400975828,2018-03-23,Toronto,116,Brooklyn Nets,112
400975840,2018-03-25,Brooklyn Nets,114,Cleveland,121
400975863,2018-03-28,Orlando,104,Brooklyn Nets,111
400975887,2018-03-31,Miami,109,Brooklyn Nets,110
400975894,2018-04-01,Brooklyn Nets,96,Detroit,108
400975903,2018-04-03,Philadelphia,121,Brooklyn Nets,95
400975924,2018-04-05,Milwaukee,111,Brooklyn Nets,119
400975939,2018-04-07,Chicago,96,Brooklyn Nets,124
400975951,2018-04-09,Brooklyn Nets,114,Chicago,105
400975965,2018-04-11,Boston,110,Brooklyn Nets,97
400974441,2018-10-19,Oklahoma City,105,New York Knicks,84
400974781,2018-10-21,New York Knicks,107,Detroit,111
400974802,2018-10-24,Boston,110,New York Knicks,89
400974824,2018-10-27,New York Knicks,107,Brooklyn,86
400974841,2018-10-29,Cleveland,95,New York Knicks,114
400974845,2018-10-30,New York Knicks,116,Denver,110
400974862,2018-11-01,New York Knicks,97,Houston,119
400974875,2018-11-03,New York Knicks,120,Phoenix,107
400974893,2018-11-05,New York Knicks,108,Indiana,101
400974903,2018-11-07,New York Knicks,118,Charlotte,113
400974911,2018-11-08,Orlando,112,New York Knicks,99
400974930,2018-11-11,New York Knicks,118,Sacramento,91
400974944,2018-11-13,New York Knicks,101,Cleveland,104
400974957,2018-11-15,New York Knicks,106,Utah,101
400974972,2018-11-17,Toronto,107,New York Knicks,84
400974996,2018-11-20,New York Knicks,107,LA,85
400975009,2018-11-22,New York Knicks,108,Toronto,100
400975019,2018-11-24,Atlanta,116,New York Knicks,104
400975033,2018-11-25,Houston,117,New York Knicks,102
400975044,2018-11-27,New York Knicks,91,Portland,103
400975057,2018-11-29,New York Knicks,115,Miami,86
400975085,2018-12-03,New York Knicks,100,Orlando,105
400975091,2018-12-04,Indiana,115,New York Knicks,97
400975108,2018-12-06,New York Knicks,99,Memphis,88
400975131,2018-12-09,Chicago,104,New York Knicks,102
400975141,2018-12-10,New York Knicks,111,Atlanta,107
400975150,2018-12-12,New York Knicks,113,Los Angeles,109
400975165,2018-12-14,Brooklyn,104,New York Knicks,111
400975182,2018-12-16,New York Knicks,111,Oklahoma City,96
400975192,2018-12-18,Charlotte,109,New York Knicks,91
400975219,2018-12-21,New York Knicks,102,Boston,93
400975222,2018-12-22,Detroit,104,New York Knicks,101
400974445,2018-12-25,New York Knicks,98,Philadelphia,105
400975255,2018-12-27,Chicago,92,New York Knicks,87
400975265,2018-12-28,San Antonio,119,New York Knicks,107
400975278,2018-12-30,New Orleans,103,New York Knicks,105
400975296,2018-01-02,New York Knicks,91,San Antonio,100
400975302,2018-01-03,Washington,121,New York Knicks,103
400975314,2018-01-05,Miami,107,New York Knicks,103
400975333,2018-01-07,Dallas,96,New York Knicks,100
400975353,2018-01-10,New York Knicks,119,Chicago,122
400975369,2018-01-12,Minnesota,118,New York Knicks,108
400975381,2018-01-14,New York Knicks,118,New Orleans,123
400975388,2018-01-15,Brooklyn,104,New York Knicks,119
400975404,2018-01-17,Memphis,105,New York Knicks,99
400975418,2018-01-19,Utah,115,New York Knicks,117
400975430,2018-01-21,Los Angeles,127,New York Knicks,107
400975445,2018-01-23,Golden State,123,New York Knicks,112
400975458,2018-01-25,Denver,130,New York Knicks,118
400975469,2018-01-26,Phoenix,85,New York Knicks,107
400975491,2018-01-30,New York Knicks,111,Brooklyn,95
400975504,2018-01-31,Boston,103,New York Knicks,73
