,id,Date,player,MIN,FG,FT,3PT,REB,AST,STL,BLK,TO,PF,PTS,3PTsMade,3PTsAttempted,FTsMade,FTsAttempted,FGsMade,FGsAttempted
0,401029429,2018-04-15,Giannis Antetokounmpo,45,11-21,13-16,0-1,13,7,3,0,4,6,35,0.0,1.0,13.0,16.0,11.0,21.0
1,401029429,2018-04-15,Khris Middleton,47,12-20,2-2,5-7,8,6,2,1,3,5,31,5.0,7.0,2.0,2.0,12.0,20.0
2,401029429,2018-04-15,John Henson,37,3-6,1-2,0-0,6,1,0,6,3,3,7,0.0,0.0,1.0,2.0,3.0,6.0
3,401029429,2018-04-15,Eric Bledsoe,33,4-12,1-2,0-2,4,4,0,0,5,6,9,0.0,2.0,1.0,2.0,4.0,12.0
4,401029429,2018-04-15,Tony Snell,33,1-4,0-0,0-3,3,0,0,1,1,3,2,0.0,3.0,0.0,0.0,1.0,4.0
5,401029429,2018-04-15,Jabari Parker,15,1-5,0-0,0-1,4,1,0,0,1,1,2,0.0,1.0,0.0,0.0,1.0,5.0
6,401029429,2018-04-15,Tyler Zeller,4,1-1,0-0,0-0,0,0,1,0,0,1,2,0.0,0.0,0.0,0.0,1.0,1.0
7,401029429,2018-04-15,Malcolm Brogdon,32,6-13,2-2,2-6,4,3,1,0,2,4,16,2.0,6.0,2.0,2.0,6.0,13.0
8,401029429,2018-04-15,Jason Terry,18,1-1,0-0,1-1,0,0,1,0,1,2,3,1.0,1.0,0.0,0.0,1.0,1.0
9,401029429,2018-04-15,Sterling Brown,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,401029429,2018-04-15,Al Horford,44,5-8,13-14,1-2,12,4,2,3,1,3,24,1.0,2.0,13.0,14.0,5.0,8.0
11,401029429,2018-04-15,Jayson Tatum,44,8-18,2-2,1-3,10,4,3,1,5,0,19,1.0,3.0,2.0,2.0,8.0,18.0
12,401029429,2018-04-15,Aron Baynes,15,0-4,0-0,0-0,3,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4.0
13,401029429,2018-04-15,Terry Rozier,40,7-18,5-6,4-9,4,3,1,0,0,2,23,4.0,9.0,5.0,6.0,7.0,18.0
14,401029429,2018-04-15,Jaylen Brown,46,9-19,0-0,2-5,4,4,1,1,3,4,20,2.0,5.0,0.0,0.0,9.0,19.0
15,401029429,2018-04-15,Semi Ojeleye,14,0-1,0-0,0-0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
16,401029429,2018-04-15,Marcus Morris,35,8-20,3-3,2-4,7,1,0,0,2,4,21,2.0,4.0,3.0,3.0,8.0,20.0
17,401029429,2018-04-15,Greg Monroe,10,0-2,1-2,0-0,3,0,0,0,0,1,1,0.0,0.0,1.0,2.0,0.0,2.0
18,401029429,2018-04-15,Shane Larkin,16,2-4,0-0,1-3,1,2,1,0,4,2,5,1.0,3.0,0.0,0.0,2.0,4.0
19,401029430,2018-04-17,Giannis Antetokounmpo,43,13-17,4-9,0-1,9,8,1,1,3,3,30,0.0,1.0,4.0,9.0,13.0,17.0
20,401029430,2018-04-17,Khris Middleton,37,10-14,1-4,4-6,4,1,0,0,3,5,25,4.0,6.0,1.0,4.0,10.0,14.0
21,401029430,2018-04-17,John Henson,37,6-7,0-0,0-0,6,4,0,1,1,1,12,0.0,0.0,0.0,0.0,6.0,7.0
22,401029430,2018-04-17,Eric Bledsoe,34,5-13,0-0,2-4,7,4,1,1,1,2,12,2.0,4.0,0.0,0.0,5.0,13.0
23,401029430,2018-04-17,Tony Snell,22,1-3,0-0,0-1,2,0,0,1,0,2,2,0.0,1.0,0.0,0.0,1.0,3.0
24,401029430,2018-04-17,Jabari Parker,10,0-2,0-0,0-0,2,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,2.0
25,401029430,2018-04-17,Thon Maker,1,0-2,0-0,0-1,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,2.0
26,401029430,2018-04-17,Tyler Zeller,6,0-0,0-0,0-0,2,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
27,401029430,2018-04-17,Malcolm Brogdon,19,5-7,0-0,0-1,3,0,0,0,4,2,10,0.0,1.0,0.0,0.0,5.0,7.0
28,401029430,2018-04-17,Matthew Dellavedova,5,0-0,0-0,0-0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
29,401029430,2018-04-17,Shabazz Muhammad,12,4-8,2-4,1-1,0,0,1,0,0,1,11,1.0,1.0,2.0,4.0,4.0,8.0
30,401029430,2018-04-17,Jason Terry,5,0-0,0-0,0-0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,401029430,2018-04-17,Sterling Brown,9,2-4,0-0,0-2,1,0,0,0,0,0,4,0.0,2.0,0.0,0.0,2.0,4.0
32,401029430,2018-04-17,Al Horford,35,7-11,1-2,1-1,5,4,2,0,0,2,16,1.0,1.0,1.0,2.0,7.0,11.0
33,401029430,2018-04-17,Jayson Tatum,30,2-9,0-0,0-2,7,3,4,1,1,3,4,0.0,2.0,0.0,0.0,2.0,9.0
34,401029430,2018-04-17,Aron Baynes,24,3-6,0-0,0-0,6,1,0,2,0,2,6,0.0,0.0,0.0,0.0,3.0,6.0
35,401029430,2018-04-17,Terry Rozier,38,8-14,4-4,3-5,3,8,1,1,0,2,23,3.0,5.0,4.0,4.0,8.0,14.0
36,401029430,2018-04-17,Jaylen Brown,33,12-22,1-2,5-12,5,1,0,0,1,2,30,5.0,12.0,1.0,2.0,12.0,22.0
37,401029430,2018-04-17,Guerschon Yabusele,11,0-2,0-0,0-2,3,1,2,0,0,1,0,0.0,2.0,0.0,0.0,0.0,2.0
38,401029430,2018-04-17,Semi Ojeleye,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,401029430,2018-04-17,Marcus Morris,30,6-11,3-7,3-6,5,1,1,0,1,1,18,3.0,6.0,3.0,7.0,6.0,11.0
40,401029430,2018-04-17,Abdel Nader,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,401029430,2018-04-17,Greg Monroe,17,5-7,2-3,0-0,4,2,0,1,2,1,12,0.0,0.0,2.0,3.0,5.0,7.0
42,401029430,2018-04-17,Shane Larkin,21,5-8,0-0,1-3,0,3,0,0,0,2,11,1.0,3.0,0.0,0.0,5.0,8.0
43,401029432,2018-04-20,Al Horford,24,7-13,1-1,1-2,3,1,0,0,2,2,16,1.0,2.0,1.0,1.0,7.0,13.0
44,401029432,2018-04-20,Jayson Tatum,27,5-11,3-5,1-3,5,0,0,1,0,0,14,1.0,3.0,3.0,5.0,5.0,11.0
45,401029432,2018-04-20,Aron Baynes,30,3-3,0-0,2-2,8,1,0,0,0,2,8,2.0,2.0,0.0,0.0,3.0,3.0
46,401029432,2018-04-20,Terry Rozier,31,2-7,4-5,1-5,2,9,2,0,5,1,9,1.0,5.0,4.0,5.0,2.0,7.0
47,401029432,2018-04-20,Jaylen Brown,29,4-9,2-2,1-3,4,1,0,0,0,2,11,1.0,3.0,2.0,2.0,4.0,9.0
48,401029432,2018-04-20,Guerschon Yabusele,7,1-2,1-3,0-0,2,1,0,0,0,0,3,0.0,0.0,1.0,3.0,1.0,2.0
49,401029432,2018-04-20,Semi Ojeleye,13,1-4,0-0,1-3,2,0,0,0,0,1,3,1.0,3.0,0.0,0.0,1.0,4.0
50,401029432,2018-04-20,Marcus Morris,25,2-8,2-2,1-1,5,0,0,0,4,3,7,1.0,1.0,2.0,2.0,2.0,8.0
51,401029432,2018-04-20,Abdel Nader,12,2-6,0-0,0-2,2,2,1,0,0,1,4,0.0,2.0,0.0,0.0,2.0,6.0
52,401029432,2018-04-20,Greg Monroe,23,4-12,7-10,0-0,12,2,0,0,5,0,15,0.0,0.0,7.0,10.0,4.0,12.0
53,401029432,2018-04-20,Shane Larkin,19,1-5,0-0,0-3,0,0,0,0,0,3,2,0.0,3.0,0.0,0.0,1.0,5.0
54,401029432,2018-04-20,Giannis Antetokounmpo,27,8-13,0-0,3-4,5,6,2,2,2,5,19,3.0,4.0,0.0,0.0,8.0,13.0
55,401029432,2018-04-20,Khris Middleton,33,10-17,0-1,3-6,8,7,1,1,1,3,23,3.0,6.0,0.0,1.0,10.0,17.0
56,401029432,2018-04-20,Tyler Zeller,19,1-1,0-0,0-0,2,1,1,1,0,3,2,0.0,0.0,0.0,0.0,1.0,1.0
57,401029432,2018-04-20,Eric Bledsoe,27,8-13,1-1,0-3,4,4,0,1,1,3,17,0.0,3.0,1.0,1.0,8.0,13.0
58,401029432,2018-04-20,Malcolm Brogdon,29,2-8,0-0,1-4,3,3,0,0,2,3,5,1.0,4.0,0.0,0.0,2.0,8.0
59,401029432,2018-04-20,Jabari Parker,30,7-12,2-4,1-4,5,2,1,1,1,4,17,1.0,4.0,2.0,4.0,7.0,12.0
60,401029432,2018-04-20,Thon Maker,24,3-5,5-7,3-4,5,0,1,5,0,2,14,3.0,4.0,5.0,7.0,3.0,5.0
61,401029432,2018-04-20,Brandon Jennings,5,0-2,2-2,0-2,0,0,0,0,1,0,2,0.0,2.0,2.0,2.0,0.0,2.0
62,401029432,2018-04-20,Matthew Dellavedova,16,2-2,0-0,1-1,1,4,0,0,1,2,5,1.0,1.0,0.0,0.0,2.0,2.0
63,401029432,2018-04-20,Sterling Brown,4,1-1,0-0,1-1,1,0,1,0,0,2,3,1.0,1.0,0.0,0.0,1.0,1.0
64,401029432,2018-04-20,Shabazz Muhammad,4,1-2,0-0,1-1,0,0,0,0,0,0,3,1.0,1.0,0.0,0.0,1.0,2.0
65,401029432,2018-04-20,Tony Snell,22,2-3,0-0,2-3,3,1,1,1,0,0,6,2.0,3.0,0.0,0.0,2.0,3.0
66,401029434,2018-04-22,Al Horford,37,4-8,5-5,0-1,9,4,0,2,2,2,13,0.0,1.0,5.0,5.0,4.0,8.0
67,401029434,2018-04-22,Jayson Tatum,36,7-16,5-6,2-5,3,3,2,0,1,4,21,2.0,5.0,5.0,6.0,7.0,16.0
68,401029434,2018-04-22,Aron Baynes,19,4-6,1-2,0-1,11,2,0,0,1,2,9,0.0,1.0,1.0,2.0,4.0,6.0
69,401029434,2018-04-22,Terry Rozier,36,3-12,2-2,2-10,5,8,1,1,1,2,10,2.0,10.0,2.0,2.0,3.0,12.0
70,401029434,2018-04-22,Jaylen Brown,41,13-24,3-4,5-8,8,1,3,0,1,2,34,5.0,8.0,3.0,4.0,13.0,24.0
71,401029434,2018-04-22,Guerschon Yabusele,6,0-1,0-0,0-1,0,0,0,0,0,4,0,0.0,1.0,0.0,0.0,0.0,1.0
72,401029434,2018-04-22,Semi Ojeleye,17,1-4,0-0,0-2,1,0,0,0,0,0,2,0.0,2.0,0.0,0.0,1.0,4.0
73,401029434,2018-04-22,Marcus Morris,26,4-14,4-6,1-1,4,0,0,0,1,5,13,1.0,1.0,4.0,6.0,4.0,14.0
74,401029434,2018-04-22,Greg Monroe,5,0-1,0-0,0-0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
75,401029434,2018-04-22,Shane Larkin,17,0-1,0-0,0-0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
76,401029434,2018-04-22,Giannis Antetokounmpo,40,12-20,3-6,0-2,7,5,0,0,2,4,27,0.0,2.0,3.0,6.0,12.0,20.0
77,401029434,2018-04-22,Khris Middleton,37,8-14,4-4,3-5,6,2,2,2,2,3,23,3.0,5.0,4.0,4.0,8.0,14.0
78,401029434,2018-04-22,Tyler Zeller,11,1-2,2-2,0-0,4,1,1,2,0,4,4,0.0,0.0,2.0,2.0,1.0,2.0
